State,1/25/20,2/1/20,2/8/20,2/15/20,2/22/20,2/29/20,3/7/20,3/14/20,3/21/20,3/28/20,4/4/20,4/11/20,4/18/20,4/25/20,5/2/20,5/9/20,5/16/20,5/23/20,5/30/20,6/6/20,6/13/20,6/20/20,6/27/20,7/4/20,7/11/20,7/18/20,7/25/20,8/1/20,8/8/20,8/15/20,8/22/20,8/29/20
Puerto Rico,0,0,0,0,0,0,0,0,21,79,352,336,330,189,450,416,416,511,618,1197,775,773,603,721,1579,2087,3087,3332,3552,4271,3882,2973
Rhode Island,0,0,0,0,0,0,3,17,46,173,567,1543,2142,2638,2160,1700,1445,1518,867,622,506,390,324,330,321,481,431,798,716,597,687,661
South Carolina,0,0,0,0,0,0,2,17,155,486,1257,1294,1037,1005,1236,1042,1130,1234,1499,2144,4417,5801,8183,11447,11313,12913,12396,10591,8861,6422,5413,5954
South Dakota,0,0,0,0,0,0,0,8,6,54,144,414,916,605,441,805,566,505,496,407,466,392,401,402,426,408,443,562,610,641,1017,1807
Tennessee,0,0,0,0,0,0,1,31,272,1207,1811,1810,1457,2600,3472,2107,2495,2522,2781,3611,3372,4897,5726,9968,10866,15330,14460,17388,12401,11162,10336,10197
Texas,0,0,0,0,0,0,8,52,522,1873,4112,6456,5681,5449,6764,7477,9058,7324,8118,11576,12445,22666,36313,48064,60457,72691,63180,54452,52894,48920,42727,37472
Utah,0,0,0,0,0,0,1,9,108,484,826,779,710,1031,1037,1118,965,1192,1273,2265,2183,3087,3560,3914,4313,4477,4291,3079,3049,2570,2493,2592
Vermont,0,0,0,0,0,0,0,5,44,162,250,250,92,40,43,35,13,20,23,69,79,22,53,38,45,55,58,25,33,55,44,52
Virgin Islands,0,0,0,0,0,0,0,0,6,16,18,11,2,2,11,2,1,0,0,2,1,1,8,30,56,116,69,69,107,206,226,158
Virginia,0,0,0,0,0,0,0,37,120,583,1667,2670,2976,4313,5372,5458,6487,6066,7862,5786,4472,3574,3804,3862,4673,6591,7236,7192,8388,6561,6318,6726
Washington,1,0,0,0,0,6,95,540,1151,2237,3217,3187,1342,1543,1684,1671,1614,977,2084,2093,2096,2687,3179,3843,3971,6808,5823,5692,4982,4362,3710,3284
West Virginia,0,0,0,0,0,0,0,0,12,84,186,295,208,225,175,138,147,235,284,147,138,226,282,423,941,748,881,963,825,899,723,785
Wisconsin,0,0,0,0,0,0,0,27,255,773,975,1183,986,1488,1973,2279,2248,2690,3353,2341,1947,2021,2747,3769,4624,5806,6385,6132,5931,5123,4953,4791
Wyoming,0,0,0,0,0,0,0,2,21,59,105,74,48,182,88,74,88,72,85,41,111,129,213,214,233,269,338,323,246,212,316,252
