"Y_(s,t)",State,Week,"COVID_(s,t)",State_i x t,Agriculture/Forestry/Fishing and Hunting %,Mining %,Utilities %,Construction %,Manufacturing %,Wholesale Trade %,Retail Trade %,Transporation and Warehousing %,Information %,Finance and Insurance %,"Real Estate, Rental and Leasing %",Professional/Scientific/Technical Services %,Management of Companies and Enterprises %,Administration and Support/Waste Management and Remedial Services %,Educational Services %,Healthcare and Social Assistance %,"Arts, Entertainment and Recreation %",Accomodation and Food Services %,Other Services (except Public Administration) %,Public Administration %,Information Not Available %,Agriculture/Forestry/Fishing and Hunting,Mining,Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transporation and Warehousing,Information,Finance and Insurance,"Real Estate, Rental and Leasing",Professional/Scientific/Technical Services,Management of Companies and Enterprises,Administration and Support/Waste Management and Remedial Services,Educational Services,Healthcare and Social Assistance,"Arts, Entertainment and Recreation",Accomodation and Food Services,Other Services (except Public Administration),Public Administration,Information Not Available
2129,Alabama,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2170,Alabama,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2176,Alabama,3,0,3,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1981,Alabama,4,0,4,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1735,Alabama,5,0,5,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1575,Alabama,6,0,6,0.8,0.8,0.2,12.4,17.7,3.4,8.6,3.6,0.9,3.4,1.6,4.1,0.2,14.1,1.5,6.9,0.6,4.5,2.1,0.9,10.8,130,129,30,2000,2866,546,1395,586,150,551,253,668,35,2290,244,1111,102,731,346,153,1743
1663,Alabama,7,0,7,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
1819,Alabama,8,7,8,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
10892,Alabama,9,124,9,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
80984,Alabama,10,563,10,0.7,0.5,0.2,10.9,18.1,3.5,9.2,4.1,1.1,4.1,1.7,4.7,0.2,14.8,1.5,7.6,0.6,4.8,2.1,0.8,8.2,92,64,26,1369,2273,440,1154,515,138,512,210,588,26,1865,183,954,79,604,264,102,1029
106739,Alabama,11,920,11,0.1,0.1,0.0,2.4,17.8,1.6,9.1,2.6,0.5,0.6,0.8,2.0,0.4,9.4,1.4,9.4,1.6,14.8,2.9,0.6,22.0,184,126,63,4116,30957,2827,15761,4591,825,1017,1372,3441,672,16366,2458,16316,2736,25827,4977,1004,38219
77515,Alabama,12,1603,12,0.1,0.1,0.0,2.4,17.8,1.6,9.1,2.6,0.5,0.6,0.8,2.0,0.4,9.4,1.4,9.4,1.6,14.8,2.9,0.6,22.0,184,126,63,4116,30957,2827,15761,4591,825,1017,1372,3441,672,16366,2458,16316,2736,25827,4977,1004,38219
66432,Alabama,13,1495,13,0.1,0.1,0.0,2.4,17.8,1.6,9.1,2.6,0.5,0.6,0.8,2.0,0.4,9.4,1.4,9.4,1.6,14.8,2.9,0.6,22.0,184,126,63,4116,30957,2827,15761,4591,825,1017,1372,3441,672,16366,2458,16316,2736,25827,4977,1004,38219
74966,Alabama,14,1314,14,0.1,0.1,0.0,2.4,17.8,1.6,9.1,2.6,0.5,0.6,0.8,2.0,0.4,9.4,1.4,9.4,1.6,14.8,2.9,0.6,22.0,184,126,63,4116,30957,2827,15761,4591,825,1017,1372,3441,672,16366,2458,16316,2736,25827,4977,1004,38219
28985,Alabama,15,1585,15,0.1,0.1,0.0,2.4,17.8,1.6,9.1,2.6,0.5,0.6,0.8,2.0,0.4,9.4,1.4,9.4,1.6,14.8,2.9,0.6,22.0,184,126,63,4116,30957,2827,15761,4591,825,1017,1372,3441,672,16366,2458,16316,2736,25827,4977,1004,38219
26666,Alabama,16,2057,16,0.1,0.1,0.1,2.9,15.4,1.8,8.7,2.4,0.6,0.7,0.9,2.3,0.4,11.1,2.4,6.9,1.8,15.1,2.1,0.8,23.4,270,197,98,5560,29309,3411,16624,4544,1217,1405,1635,4294,835,21146,4555,13120,3356,28679,3932,1444,44574
25150,Alabama,17,2006,17,0.1,0.1,0.1,2.9,15.4,1.8,8.7,2.4,0.6,0.7,0.9,2.3,0.4,11.1,2.4,6.9,1.8,15.1,2.1,0.8,23.4,270,197,98,5560,29309,3411,16624,4544,1217,1405,1635,4294,835,21146,4555,13120,3356,28679,3932,1444,44574
27919,Alabama,18,2443,18,0.1,0.1,0.1,2.9,15.4,1.8,8.7,2.4,0.6,0.7,0.9,2.3,0.4,11.1,2.4,6.9,1.8,15.1,2.1,0.8,23.4,270,197,98,5560,29309,3411,16624,4544,1217,1405,1635,4294,835,21146,4555,13120,3356,28679,3932,1444,44574
21335,Alabama,19,3242,19,0.1,0.1,0.1,2.9,15.4,1.8,8.7,2.4,0.6,0.7,0.9,2.3,0.4,11.1,2.4,6.9,1.8,15.1,2.1,0.8,23.4,270,197,98,5560,29309,3411,16624,4544,1217,1405,1635,4294,835,21146,4555,13120,3356,28679,3932,1444,44574
19949,Alabama,20,2684,20,0.2,0.1,0.1,3.1,10.7,1.8,8.4,2.2,0.6,0.8,0.8,2.2,0.4,11.4,2.4,6.7,1.4,14.3,2.0,0.7,29.3,305,175,98,4479,15576,2631,12217,3205,909,1150,1178,3161,614,16597,3423,9742,2044,20678,2952,1074,42544
18367,Alabama,21,4558,21,0.2,0.1,0.1,3.1,10.7,1.8,8.4,2.2,0.6,0.8,0.8,2.2,0.4,11.4,2.4,6.7,1.4,14.3,2.0,0.7,29.3,305,175,98,4479,15576,2631,12217,3205,909,1150,1178,3161,614,16597,3423,9742,2044,20678,2952,1074,42544
18671,Alabama,22,4948,22,0.2,0.1,0.1,3.1,10.7,1.8,8.4,2.2,0.6,0.8,0.8,2.2,0.4,11.4,2.4,6.7,1.4,14.3,2.0,0.7,29.3,305,175,98,4479,15576,2631,12217,3205,909,1150,1178,3161,614,16597,3423,9742,2044,20678,2952,1074,42544
18338,Alabama,23,5534,23,0.2,0.1,0.1,3.1,10.7,1.8,8.4,2.2,0.6,0.8,0.8,2.2,0.4,11.4,2.4,6.7,1.4,14.3,2.0,0.7,29.3,305,175,98,4479,15576,2631,12217,3205,909,1150,1178,3161,614,16597,3423,9742,2044,20678,2952,1074,42544
1003,Alaska,1,0,1,1.0,3.0,0.8,23.2,8.4,1.0,7.8,5.6,0.7,1.2,1.8,2.6,0.2,4.7,2.3,6.4,1.6,8.8,2.9,11.1,3.9,79,250,63,1914,695,85,645,462,61,99,148,212,16,390,193,529,134,730,243,914,325
1122,Alaska,2,0,2,1.0,3.0,0.8,23.2,8.4,1.0,7.8,5.6,0.7,1.2,1.8,2.6,0.2,4.7,2.3,6.4,1.6,8.8,2.9,11.1,3.9,79,250,63,1914,695,85,645,462,61,99,148,212,16,390,193,529,134,730,243,914,325
980,Alaska,3,0,3,0.7,3.1,0.8,23.4,7.2,1.2,9.0,5.4,0.5,1.1,2.1,2.9,0.2,5.2,2.3,7.0,1.7,8.7,2.6,11.3,2.8,54,236,60,1807,556,95,693,420,41,86,159,225,16,405,181,537,132,675,202,873,216
915,Alaska,4,0,4,0.7,3.1,0.8,23.4,7.2,1.2,9.0,5.4,0.5,1.1,2.1,2.9,0.2,5.2,2.3,7.0,1.7,8.7,2.6,11.3,2.8,54,236,60,1807,556,95,693,420,41,86,159,225,16,405,181,537,132,675,202,873,216
773,Alaska,5,0,5,0.7,3.1,0.8,23.4,7.2,1.2,9.0,5.4,0.5,1.1,2.1,2.9,0.2,5.2,2.3,7.0,1.7,8.7,2.6,11.3,2.8,54,236,60,1807,556,95,693,420,41,86,159,225,16,405,181,537,132,675,202,873,216
874,Alaska,6,0,6,0.7,3.1,0.8,23.4,7.2,1.2,9.0,5.4,0.5,1.1,2.1,2.9,0.2,5.2,2.3,7.0,1.7,8.7,2.6,11.3,2.8,54,236,60,1807,556,95,693,420,41,86,159,225,16,405,181,537,132,675,202,873,216
815,Alaska,7,0,7,0.6,2.8,0.7,22.5,6.1,1.2,8.7,6.2,0.6,1.1,2.1,3.1,0.2,5.0,2.7,7.8,1.6,10.2,2.8,10.6,2.8,49,223,52,1774,480,91,690,491,45,89,168,244,19,395,217,618,127,806,219,835,221
1120,Alaska,8,1,8,0.6,2.8,0.7,22.5,6.1,1.2,8.7,6.2,0.6,1.1,2.1,3.1,0.2,5.0,2.7,7.8,1.6,10.2,2.8,10.6,2.8,49,223,52,1774,480,91,690,491,45,89,168,244,19,395,217,618,127,806,219,835,221
7847,Alaska,9,12,9,0.6,2.8,0.7,22.5,6.1,1.2,8.7,6.2,0.6,1.1,2.1,3.1,0.2,5.0,2.7,7.8,1.6,10.2,2.8,10.6,2.8,49,223,52,1774,480,91,690,491,45,89,168,244,19,395,217,618,127,806,219,835,221
13774,Alaska,10,72,10,0.6,2.8,0.7,22.5,6.1,1.2,8.7,6.2,0.6,1.1,2.1,3.1,0.2,5.0,2.7,7.8,1.6,10.2,2.8,10.6,2.8,49,223,52,1774,480,91,690,491,45,89,168,244,19,395,217,618,127,806,219,835,221
14590,Alaska,11,86,11,0.4,2.7,0.2,10.2,4.1,1.5,11.8,5.7,0.8,0.9,1.5,2.4,0.2,4.3,3.7,13.1,3.0,20.5,4.9,4.4,3.4,169,1166,101,4373,1733,636,5043,2422,358,397,647,1034,71,1854,1567,5584,1264,8741,2072,1878,1441
12007,Alaska,12,86,12,0.4,2.7,0.2,10.2,4.1,1.5,11.8,5.7,0.8,0.9,1.5,2.4,0.2,4.3,3.7,13.1,3.0,20.5,4.9,4.4,3.4,169,1166,101,4373,1733,636,5043,2422,358,397,647,1034,71,1854,1567,5584,1264,8741,2072,1878,1441
12201,Alaska,13,57,13,0.4,2.7,0.2,10.2,4.1,1.5,11.8,5.7,0.8,0.9,1.5,2.4,0.2,4.3,3.7,13.1,3.0,20.5,4.9,4.4,3.4,169,1166,101,4373,1733,636,5043,2422,358,397,647,1034,71,1854,1567,5584,1264,8741,2072,1878,1441
10313,Alaska,14,25,14,0.4,2.7,0.2,10.2,4.1,1.5,11.8,5.7,0.8,0.9,1.5,2.4,0.2,4.3,3.7,13.1,3.0,20.5,4.9,4.4,3.4,169,1166,101,4373,1733,636,5043,2422,358,397,647,1034,71,1854,1567,5584,1264,8741,2072,1878,1441
8718,Alaska,15,26,15,0.4,2.7,0.2,10.2,4.1,1.5,11.8,5.7,0.8,0.9,1.5,2.4,0.2,4.3,3.7,13.1,3.0,20.5,4.9,4.4,3.4,169,1166,101,4373,1733,636,5043,2422,358,397,647,1034,71,1854,1567,5584,1264,8741,2072,1878,1441
7807,Alaska,16,13,16,0.4,4.0,0.2,8.2,5.6,1.6,11.1,6.0,0.8,1.0,1.5,2.7,0.2,4.6,4.4,10.8,2.6,20.1,4.3,4.8,4.6,175,1654,99,3385,2301,669,4616,2476,336,397,608,1126,74,1893,1830,4492,1072,8338,1794,1980,1914
7741,Alaska,17,10,17,0.4,4.0,0.2,8.2,5.6,1.6,11.1,6.0,0.8,1.0,1.5,2.7,0.2,4.6,4.4,10.8,2.6,20.1,4.3,4.8,4.6,175,1654,99,3385,2301,669,4616,2476,336,397,608,1126,74,1893,1830,4492,1072,8338,1794,1980,1914
8152,Alaska,18,19,18,0.4,4.0,0.2,8.2,5.6,1.6,11.1,6.0,0.8,1.0,1.5,2.7,0.2,4.6,4.4,10.8,2.6,20.1,4.3,4.8,4.6,175,1654,99,3385,2301,669,4616,2476,336,397,608,1126,74,1893,1830,4492,1072,8338,1794,1980,1914
7452,Alaska,19,26,19,0.4,4.0,0.2,8.2,5.6,1.6,11.1,6.0,0.8,1.0,1.5,2.7,0.2,4.6,4.4,10.8,2.6,20.1,4.3,4.8,4.6,175,1654,99,3385,2301,669,4616,2476,336,397,608,1126,74,1893,1830,4492,1072,8338,1794,1980,1914
7081,Alaska,20,102,20,0.4,3.9,0.2,6.9,4.7,1.6,11.0,6.8,0.8,1.1,1.6,2.8,0.2,5.0,6.3,10.2,2.1,19.3,4.3,5.1,5.3,165,1481,94,2655,1811,629,4216,2605,322,425,600,1083,94,1906,2407,3916,808,7394,1638,1962,2020
6797,Alaska,21,118,21,0.4,3.9,0.2,6.9,4.7,1.6,11.0,6.8,0.8,1.1,1.6,2.8,0.2,5.0,6.3,10.2,2.1,19.3,4.3,5.1,5.3,165,1481,94,2655,1811,629,4216,2605,322,425,600,1083,94,1906,2407,3916,808,7394,1638,1962,2020
6757,Alaska,22,88,22,0.4,3.9,0.2,6.9,4.7,1.6,11.0,6.8,0.8,1.1,1.6,2.8,0.2,5.0,6.3,10.2,2.1,19.3,4.3,5.1,5.3,165,1481,94,2655,1811,629,4216,2605,322,425,600,1083,94,1906,2407,3916,808,7394,1638,1962,2020
6467,Alaska,23,110,23,0.4,3.9,0.2,6.9,4.7,1.6,11.0,6.8,0.8,1.1,1.6,2.8,0.2,5.0,6.3,10.2,2.1,19.3,4.3,5.1,5.3,165,1481,94,2655,1811,629,4216,2605,322,425,600,1083,94,1906,2407,3916,808,7394,1638,1962,2020
1683,Arkansas,1,0,1,3.1,1.1,0.1,10.4,13.3,3.5,9.4,4.1,0.7,1.2,1.2,2.9,0.4,10.4,1.1,8.3,1.1,5.3,2.1,1.6,15.6,398,136,9,1329,1688,451,1196,520,94,157,153,363,45,1322,138,1052,143,677,270,210,1980
1837,Arkansas,2,0,2,3.1,1.1,0.1,10.4,13.3,3.5,9.4,4.1,0.7,1.2,1.2,2.9,0.4,10.4,1.1,8.3,1.1,5.3,2.1,1.6,15.6,398,136,9,1329,1688,451,1196,520,94,157,153,363,45,1322,138,1052,143,677,270,210,1980
1724,Arkansas,3,0,3,3.1,1.0,0.1,10.7,15.3,3.5,8.6,4.1,0.8,1.4,0.9,2.6,0.3,9.5,1.2,7.8,1.0,4.4,1.9,1.6,17.1,402,131,12,1380,1976,457,1110,534,106,177,123,342,39,1225,150,1008,131,570,251,204,2218
1602,Arkansas,4,0,4,3.1,1.0,0.1,10.7,15.3,3.5,8.6,4.1,0.8,1.4,0.9,2.6,0.3,9.5,1.2,7.8,1.0,4.4,1.9,1.6,17.1,402,131,12,1380,1976,457,1110,534,106,177,123,342,39,1225,150,1008,131,570,251,204,2218
1055,Arkansas,5,0,5,3.1,1.0,0.1,10.7,15.3,3.5,8.6,4.1,0.8,1.4,0.9,2.6,0.3,9.5,1.2,7.8,1.0,4.4,1.9,1.6,17.1,402,131,12,1380,1976,457,1110,534,106,177,123,342,39,1225,150,1008,131,570,251,204,2218
1418,Arkansas,6,0,6,3.1,1.0,0.1,10.7,15.3,3.5,8.6,4.1,0.8,1.4,0.9,2.6,0.3,9.5,1.2,7.8,1.0,4.4,1.9,1.6,17.1,402,131,12,1380,1976,457,1110,534,106,177,123,342,39,1225,150,1008,131,570,251,204,2218
1843,Arkansas,7,0,7,2.3,0.8,0.1,9.4,18.4,3.8,9.0,4.2,0.9,1.5,1.1,2.9,0.3,8.7,1.1,8.6,0.6,4.6,1.9,1.8,15.9,260,86,12,1055,2066,428,1007,468,97,165,122,327,35,975,126,968,72,518,210,198,1793
1382,Arkansas,8,12,8,2.3,0.8,0.1,9.4,18.4,3.8,9.0,4.2,0.9,1.5,1.1,2.9,0.3,8.7,1.1,8.6,0.6,4.6,1.9,1.8,15.9,260,86,12,1055,2066,428,1007,468,97,165,122,327,35,975,126,968,72,518,210,198,1793
9275,Arkansas,9,110,9,2.3,0.8,0.1,9.4,18.4,3.8,9.0,4.2,0.9,1.5,1.1,2.9,0.3,8.7,1.1,8.6,0.6,4.6,1.9,1.8,15.9,260,86,12,1055,2066,428,1007,468,97,165,122,327,35,975,126,968,72,518,210,198,1793
27756,Arkansas,10,287,10,2.3,0.8,0.1,9.4,18.4,3.8,9.0,4.2,0.9,1.5,1.1,2.9,0.3,8.7,1.1,8.6,0.6,4.6,1.9,1.8,15.9,260,86,12,1055,2066,428,1007,468,97,165,122,327,35,975,126,968,72,518,210,198,1793
62086,Arkansas,11,334,11,0.3,0.2,0.1,2.8,11.4,2.5,8.9,1.9,0.6,0.5,0.7,1.8,0.8,6.2,1.8,16.5,2.1,18.1,2.9,0.6,18.7,354,247,55,3119,12522,2742,9761,2129,675,520,790,2019,876,6764,1964,18113,2341,19858,3197,688,20425
35629,Arkansas,12,485,12,0.3,0.2,0.1,2.8,11.4,2.5,8.9,1.9,0.6,0.5,0.7,1.8,0.8,6.2,1.8,16.5,2.1,18.1,2.9,0.6,18.7,354,247,55,3119,12522,2742,9761,2129,675,520,790,2019,876,6764,1964,18113,2341,19858,3197,688,20425
25404,Arkansas,13,516,13,0.3,0.2,0.1,2.8,11.4,2.5,8.9,1.9,0.6,0.5,0.7,1.8,0.8,6.2,1.8,16.5,2.1,18.1,2.9,0.6,18.7,354,247,55,3119,12522,2742,9761,2129,675,520,790,2019,876,6764,1964,18113,2341,19858,3197,688,20425
17671,Arkansas,14,1167,14,0.3,0.2,0.1,2.8,11.4,2.5,8.9,1.9,0.6,0.5,0.7,1.8,0.8,6.2,1.8,16.5,2.1,18.1,2.9,0.6,18.7,354,247,55,3119,12522,2742,9761,2129,675,520,790,2019,876,6764,1964,18113,2341,19858,3197,688,20425
13448,Arkansas,15,461,15,0.3,0.2,0.1,2.8,11.4,2.5,8.9,1.9,0.6,0.5,0.7,1.8,0.8,6.2,1.8,16.5,2.1,18.1,2.9,0.6,18.7,354,247,55,3119,12522,2742,9761,2129,675,520,790,2019,876,6764,1964,18113,2341,19858,3197,688,20425
13152,Arkansas,16,375,16,0.4,0.3,0.1,2.8,11.4,2.6,9.2,2.4,0.8,0.5,0.9,2.1,0.7,7.2,2.1,13.7,2.2,17.5,2.1,1.1,19.6,419,340,88,3340,13628,3116,11008,2857,916,613,1023,2529,832,8600,2527,16389,2631,20817,2508,1333,23314
11427,Arkansas,17,831,17,0.4,0.3,0.1,2.8,11.4,2.6,9.2,2.4,0.8,0.5,0.9,2.1,0.7,7.2,2.1,13.7,2.2,17.5,2.1,1.1,19.6,419,340,88,3340,13628,3116,11008,2857,916,613,1023,2529,832,8600,2527,16389,2631,20817,2508,1333,23314
10825,Arkansas,18,1197,18,0.4,0.3,0.1,2.8,11.4,2.6,9.2,2.4,0.8,0.5,0.9,2.1,0.7,7.2,2.1,13.7,2.2,17.5,2.1,1.1,19.6,419,340,88,3340,13628,3116,11008,2857,916,613,1023,2529,832,8600,2527,16389,2631,20817,2508,1333,23314
8481,Arkansas,19,1238,19,0.4,0.3,0.1,2.8,11.4,2.6,9.2,2.4,0.8,0.5,0.9,2.1,0.7,7.2,2.1,13.7,2.2,17.5,2.1,1.1,19.6,419,340,88,3340,13628,3116,11008,2857,916,613,1023,2529,832,8600,2527,16389,2631,20817,2508,1333,23314
9663,Arkansas,20,2088,20,0.4,0.3,0.1,2.9,10.1,2.4,9.1,2.7,0.9,0.6,0.9,2.3,0.8,8.5,2.8,12.2,2.0,17.0,2.2,1.3,20.3,412,357,71,3200,11107,2615,10055,2928,987,634,1015,2491,873,9309,3117,13445,2146,18668,2365,1426,22308
9381,Arkansas,21,2994,21,0.4,0.3,0.1,2.9,10.1,2.4,9.1,2.7,0.9,0.6,0.9,2.3,0.8,8.5,2.8,12.2,2.0,17.0,2.2,1.3,20.3,412,357,71,3200,11107,2615,10055,2928,987,634,1015,2491,873,9309,3117,13445,2146,18668,2365,1426,22308
9669,Arkansas,22,3047,22,0.4,0.3,0.1,2.9,10.1,2.4,9.1,2.7,0.9,0.6,0.9,2.3,0.8,8.5,2.8,12.2,2.0,17.0,2.2,1.3,20.3,412,357,71,3200,11107,2615,10055,2928,987,634,1015,2491,873,9309,3117,13445,2146,18668,2365,1426,22308
10395,Arkansas,23,4168,23,0.4,0.3,0.1,2.9,10.1,2.4,9.1,2.7,0.9,0.6,0.9,2.3,0.8,8.5,2.8,12.2,2.0,17.0,2.2,1.3,20.3,412,357,71,3200,11107,2615,10055,2928,987,634,1015,2491,873,9309,3117,13445,2146,18668,2365,1426,22308
3475,Arizona,1,0,1,2.1,0.7,0.4,8.4,5.2,3.2,8.0,2.8,1.5,4.2,1.9,5.7,0.5,15.4,2.1,8.7,1.3,5.4,1.9,2.2,16.5,396,127,67,1609,1001,604,1528,539,292,807,362,1094,91,2939,394,1656,251,1033,364,429,3161
3807,Arizona,2,1,2,2.1,0.7,0.4,8.4,5.2,3.2,8.0,2.8,1.5,4.2,1.9,5.7,0.5,15.4,2.1,8.7,1.3,5.4,1.9,2.2,16.5,396,127,67,1609,1001,604,1528,539,292,807,362,1094,91,2939,394,1656,251,1033,364,429,3161
3636,Arizona,3,0,3,2.9,0.6,0.4,8.1,5.4,3.1,7.8,2.7,1.4,4.3,1.7,5.9,0.5,15.1,1.9,8.4,1.2,5.3,2.0,2.0,16.3,556,121,72,1547,1021,599,1480,523,274,820,327,1116,96,2880,362,1602,235,1005,374,386,3101
3538,Arizona,4,0,4,2.9,0.6,0.4,8.1,5.4,3.1,7.8,2.7,1.4,4.3,1.7,5.9,0.5,15.1,1.9,8.4,1.2,5.3,2.0,2.0,16.3,556,121,72,1547,1021,599,1480,523,274,820,327,1116,96,2880,362,1602,235,1005,374,386,3101
3151,Arizona,5,0,5,2.9,0.6,0.4,8.1,5.4,3.1,7.8,2.7,1.4,4.3,1.7,5.9,0.5,15.1,1.9,8.4,1.2,5.3,2.0,2.0,16.3,556,121,72,1547,1021,599,1480,523,274,820,327,1116,96,2880,362,1602,235,1005,374,386,3101
3086,Arizona,6,0,6,2.9,0.6,0.4,8.1,5.4,3.1,7.8,2.7,1.4,4.3,1.7,5.9,0.5,15.1,1.9,8.4,1.2,5.3,2.0,2.0,16.3,556,121,72,1547,1021,599,1480,523,274,820,327,1116,96,2880,362,1602,235,1005,374,386,3101
3357,Arizona,7,3,7,4.9,0.6,0.3,7.5,5.0,3.1,7.6,2.7,1.3,4.1,1.8,5.8,0.5,14.3,1.9,8.1,1.2,5.1,1.8,1.9,15.7,963,111,56,1464,975,598,1497,530,262,799,361,1133,99,2793,375,1586,230,1002,347,369,3079
3844,Arizona,8,8,8,4.9,0.6,0.3,7.5,5.0,3.1,7.6,2.7,1.3,4.1,1.8,5.8,0.5,14.3,1.9,8.1,1.2,5.1,1.8,1.9,15.7,963,111,56,1464,975,598,1497,530,262,799,361,1133,99,2793,375,1586,230,1002,347,369,3079
29348,Arizona,9,92,9,4.9,0.6,0.3,7.5,5.0,3.1,7.6,2.7,1.3,4.1,1.8,5.8,0.5,14.3,1.9,8.1,1.2,5.1,1.8,1.9,15.7,963,111,56,1464,975,598,1497,530,262,799,361,1133,99,2793,375,1586,230,1002,347,369,3079
88940,Arizona,10,669,10,4.9,0.6,0.3,7.5,5.0,3.1,7.6,2.7,1.3,4.1,1.8,5.8,0.5,14.3,1.9,8.1,1.2,5.1,1.8,1.9,15.7,963,111,56,1464,975,598,1497,530,262,799,361,1133,99,2793,375,1586,230,1002,347,369,3079
132428,Arizona,11,1246,11,2.4,0.1,0.0,3.3,3.8,2.2,10.3,3.0,1.3,1.2,1.7,2.7,0.7,9.0,1.7,11.1,3.0,23.2,4.8,0.5,11.7,4806,264,85,6674,7628,4534,20997,6012,2722,2452,3530,5573,1374,18247,3356,22488,6102,47166,9744,945,23736
98531,Arizona,12,1374,12,2.4,0.1,0.0,3.3,3.8,2.2,10.3,3.0,1.3,1.2,1.7,2.7,0.7,9.0,1.7,11.1,3.0,23.2,4.8,0.5,11.7,4806,264,85,6674,7628,4534,20997,6012,2722,2452,3530,5573,1374,18247,3356,22488,6102,47166,9744,945,23736
72457,Arizona,13,1331,13,2.4,0.1,0.0,3.3,3.8,2.2,10.3,3.0,1.3,1.2,1.7,2.7,0.7,9.0,1.7,11.1,3.0,23.2,4.8,0.5,11.7,4806,264,85,6674,7628,4534,20997,6012,2722,2452,3530,5573,1374,18247,3356,22488,6102,47166,9744,945,23736
52581,Arizona,14,1562,14,2.4,0.1,0.0,3.3,3.8,2.2,10.3,3.0,1.3,1.2,1.7,2.7,0.7,9.0,1.7,11.1,3.0,23.2,4.8,0.5,11.7,4806,264,85,6674,7628,4534,20997,6012,2722,2452,3530,5573,1374,18247,3356,22488,6102,47166,9744,945,23736
43023,Arizona,15,2078,15,2.4,0.1,0.0,3.3,3.8,2.2,10.3,3.0,1.3,1.2,1.7,2.7,0.7,9.0,1.7,11.1,3.0,23.2,4.8,0.5,11.7,4806,264,85,6674,7628,4534,20997,6012,2722,2452,3530,5573,1374,18247,3356,22488,6102,47166,9744,945,23736
31570,Arizona,16,2596,16,2.7,0.3,0.0,3.6,3.5,2.4,9.3,3.7,1.4,1.3,1.8,3.0,0.6,8.4,1.8,8.9,3.1,20.9,3.5,0.5,16.5,6022,698,105,8235,8039,5478,21153,8370,3121,2950,4147,6685,1402,18953,4085,20173,7055,47336,7888,1224,37343
31957,Arizona,17,2706,17,2.7,0.3,0.0,3.6,3.5,2.4,9.3,3.7,1.4,1.3,1.8,3.0,0.6,8.4,1.8,8.9,3.1,20.9,3.5,0.5,16.5,6022,698,105,8235,8039,5478,21153,8370,3121,2950,4147,6685,1402,18953,4085,20173,7055,47336,7888,1224,37343
26868,Arizona,18,2387,18,2.7,0.3,0.0,3.6,3.5,2.4,9.3,3.7,1.4,1.3,1.8,3.0,0.6,8.4,1.8,8.9,3.1,20.9,3.5,0.5,16.5,6022,698,105,8235,8039,5478,21153,8370,3121,2950,4147,6685,1402,18953,4085,20173,7055,47336,7888,1224,37343
22012,Arizona,19,3205,19,2.7,0.3,0.0,3.6,3.5,2.4,9.3,3.7,1.4,1.3,1.8,3.0,0.6,8.4,1.8,8.9,3.1,20.9,3.5,0.5,16.5,6022,698,105,8235,8039,5478,21153,8370,3121,2950,4147,6685,1402,18953,4085,20173,7055,47336,7888,1224,37343
24367,Arizona,20,6193,20,2.7,0.3,0.1,4.3,3.6,2.4,8.1,3.7,1.5,1.5,1.8,3.2,0.5,9.0,3.0,8.3,2.7,18.2,2.9,0.7,18.5,6144,763,139,9729,8027,5357,18277,8221,3319,3474,4143,7209,1223,20269,6797,18618,6140,40913,6405,1553,41507
